timesteps,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2050-01-06 08:00:00,-1.20866911,-1.101977507,-0.897131721,-2.245566505,-0.404406138,-3.675351093,-1.684014661,-4.292738244,-5.302704416,-0.74670164,-4.269687731,-1.872157333
2050-01-06 09:00:00,-1.287530272,-1.173877439,-0.955666228,-2.392081364,-0.430792134,-3.915154076,-1.793890352,-4.572823441,-5.648686149,-0.795421144,-4.548268969,-1.994308633
2050-01-06 10:00:00,-1.355327631,-1.235690193,-1.005988654,-2.518040965,-0.453476315,-4.121313973,-1.888351066,-4.813614172,-5.94612848,-0.837305559,-4.787766737,-2.099322754
2050-01-06 11:00:00,-1.362814427,-1.242516114,-1.01154571,-2.531950559,-0.455981306,-4.144080007,-1.898782269,-4.840204454,-5.978974743,-0.841930814,-4.814214238,-2.11091936
2050-01-06 12:00:00,-1.346432915,-1.22758063,-0.999386572,-2.501515618,-0.45050025,-4.094266698,-1.875958234,-4.782023484,-5.90710535,-0.831810508,-4.75634568,-2.085545362
2050-01-06 13:00:00,-1.350662621,-1.231436972,-1.002526061,-2.509373919,-0.451915458,-4.107128494,-1.8818514,-4.797045809,-5.925662026,-0.834423571,-4.771287341,-2.092096928
2050-01-06 14:00:00,-1.364205676,-1.243784554,-1.012578361,-2.534535338,-0.456446801,-4.148310552,-1.900720669,-4.845145648,-5.985078467,-0.842790312,-4.8191289,-2.113074323
2050-01-06 15:00:00,-1.361721934,-1.241520057,-1.010734809,-2.529920835,-0.455615771,-4.140757927,-1.89726012,-4.83632433,-5.974181729,-0.841255885,-4.810354949,-2.109227152
2050-01-06 16:00:00,-1.38703148,-1.26459548,-1.029520759,-2.576943025,-0.464084041,-4.217719824,-1.932523408,-4.926214321,-6.085220425,-0.856891826,-4.899762263,-2.14843015
2050-01-06 17:00:00,-1.405128299,-1.281094857,-1.042953079,-2.610564809,-0.470139019,-4.272749083,-1.957737347,-4.99048742,-6.16461526,-0.86807183,-4.963690238,-2.176461059
2050-01-06 18:00:00,-1.413323159,-1.288566341,-1.049035694,-2.625789904,-0.47288092,-4.297668215,-1.969155082,-5.01959248,-6.20056796,-0.873134518,-4.992639013,-2.189154414
2050-01-06 19:00:00,-1.396773287,-1.273477358,-1.036751591,-2.595042168,-0.467343532,-4.247342953,-1.946096474,-4.960813557,-6.127959932,-0.862910201,-4.934175712,-2.163519636
